item_id,developer,price,anios
4570,Relic Entertainment,12.99,2006
4580,Relic Entertainment,12.99,2006
4760,The Creative Assembly,9.99,2004
4770,The Creative Assembly,4.99,2006
50970,Big Fish Games,6.99,2007
12130,Rockstar North,9.99,2004
12160,Rockstar San Diego,9.99,2003
12150,Remedy Entertainment,9.99,2003
7000,Crystal Dynamics,6.99,2006
12140,Remedy Entertainment,9.99,2001
17480,EA Los Angeles,19.99,2008
12500,Infinite Interactive,9.99,2007
12310,Momentum Digital Media Technologies,9.99,2007
12510,"Gamebryo,Virtual Playground",9.99,2007
12530,SCS Software,9.99,2007
12520,SCS Software,9.99,2007
8100,Pivotal Games,5.99,2008
2780,Bohemia Interactive,7.99,2007
9730,Desconocido,9.99,2006
9710,Spellbound,9.99,2006
9800,Haggard Games,4.99,2007
9760,Eugen Systems,2.99,2006
2700,"Frontier,Aspyr (Mac)",19.99,2006
2710,Eugen Systems,2.99,2005
13200,"Epic Games, Inc.",14.99,2003
13250,"Epic Games, Inc.",9.99,1998
13000,Sanzaru Games,4.99,2008
13560,Ubisoft,9.99,2003
13520,Crytek Studios,9.99,2004
13240,"Epic Games, Inc.",9.99,2000
13540,Ubisoft Montreal,9.99,2006
15210,Ubisoft,9.99,2005
16180,Last Day of Work,9.99,2008
3520,SpinTop Games,4.99,2008
15970,MumboJumbo,9.99,2008
15950,MumboJumbo,9.99,2008
15960,MumboJumbo,9.99,2008
15900,MumboJumbo,9.99,2008
15910,MumboJumbo,9.99,2005
15930,MumboJumbo,9.99,2007
15160,Ubisoft,9.99,2007
15920,MumboJumbo,9.99,2005
15080,"Ubisoft Bulgaria,Ubisoft Montpellier",9.99,2007
15200,Ubisoft Romania,9.99,2007
15320,1C: Maddox Games,9.99,2006
15240,Ubisoft Romania,9.99,2008
8310,Telltale Games,9.99,2005
12600,"Merscom,Babylon",9.99,2005
8320,Telltale Games,9.99,2006
12590,BigAnt Studios,9.99,2008
12580,Zemnott,9.99,2008
12560,Gabriel Entertainment,9.99,2007
12570,Zemnott,9.99,2008
12540,Zemnott,9.99,2007
11050,Frogwares,9.99,2008
11040,Frogwares,9.99,2008
19500,"Luc Bernard,SilverSphereStudios",4.99,2008
11260,Lesta Studio,7.99,2007
19200,Dialogue Design,4.99,2008
12360,Bugbear Entertainment,19.99,2008
15710,Oddworld Inhabitants,2.99,1998
15700,Oddworld Inhabitants,2.99,1997
8660,SimBin,7.99,2008
7770,"MicroProse Software, Inc",4.99,2001
7660,"MicroProse Software, Inc",4.99,1997
7760,"MicroProse Software, Inc",4.99,1993
20510,GSC Game World,9.99,2008
17330,Crytek,19.99,2008
17300,Crytek,19.99,2007
7730,"MicroProse Software, Inc",4.99,1998
20900,CD PROJEKT RED,9.99,2008
1530,Introversion Software,9.99,2008
8690,SimBin,2.99,2008
17120,"Tilted Mill Entertainment, Inc.",2.49,2008
16810,Firaxis Games,19.99,2008
19830,"Red Storm Entertainment,Ubisoft Montreal",9.99,2003
21000,Traveller's Tales,19.99,2008
4460,Monte Cristo,9.99,2008
17140,"Tilted Mill Entertainment, Inc.",9.99,2008
15390,Gearbox Software,9.99,2008
21300,Dark Castle Software,4.99,2008
3050,Techland,4.99,2006
15380,Nival,9.99,2006
19800,Gearbox Software,9.99,2005
15370,Nival,9.99,2007
19930,Blue Byte,19.99,2008
15350,Ubisoft,9.99,2007
19810,Red Storm Entertainment,9.99,2002
3540,"PopCap Games, Inc.",4.99,2008
22000,2D BOY,9.99,2008
2820,Egosoft,15.99,2008
1230,Sandstorm Productions,0.0,2008
18300,Shorebound Studios,4.99,2008
20200,Perpetual FX Creative,19.99,2008
12200,Rockstar New England,14.99,2008
19900,Ubisoft Montreal,9.99,2008
11240,Meridian4,4.99,2008
256522,RailSimulator.com,4.99,2009
275144,RailSimulator.com,4.99,2009
256521,RailSimulator.com,4.99,2009
222569,Reppo,4.99,2009
256535,RailSimulator.com,4.99,2009
256611,Dovetail Games,4.99,2009
256576,Dovetail Games,4.99,2009
9480,Volition,9.99,2009
17470,EA Redwood Shores,19.99,2008
12770,Liquid Entertainment,9.99,2008
17410,DICE,19.99,2009
18500,Hidden Path Entertainment,9.99,2008
16450,Monolith,14.99,2009
15400,Oxeye Game Studio,7.99,2008
18600,Inventive Dingo,9.99,2007
11340,Meridian4,4.99,2009
25830,Black Sea Studios Ltd,9.99,2005
23460,Realmforge Studios,5.99,2009
10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.99,2009
21010,Deadline Games,4.99,2009
22180,Frictional Games,9.99,2007
13210,"Epic Games, Inc.",19.99,2007
12640,Radon Labs,9.99,2009
27020,Tale of Tales,4.99,2008
24740,Criterion Games,19.99,2009
26000,Twisted Pixel Games,9.99,2009
26006,Twisted Pixel Games,1.25,2009
26005,Twisted Pixel Games,1.25,2009
11330,IonFX,4.99,2009
27800,Llamasoft LTD,9.99,2009
9850,"InnoGlow,Stormregion,THQ Nordic",14.99,2009
3600,SpinTop Games,4.99,2009
29580,ArenaNet®,19.99,2006
29540,ArenaNet®,19.99,2005
29560,ArenaNet®,19.99,2006
29570,ArenaNet®,29.99,2008
23700,Infinite Interactive,14.99,2009
16060,MumboJumbo,9.99,2009
1930,Reality Pump Studios,9.99,2009
18470,Spellbound,9.99,2009
7510,Gaijin Entertainment,9.99,2009
22200,ACE Team,9.99,2009
26007,Twisted Pixel Games,1.25,2009
25900,1C Company,6.99,2008
16200,Last Day of Work,9.99,2009
7840,Sky Fallen,2.99,2009
8890,Irrational Games,4.99,2005
8880,Irrational Games,4.99,2002
34500,SaintXi,14.99,2009
1280,Darklight Games,0.0,2009
10150,Radical Entertainment,19.99,2009
12470,Ascaron Entertainment ltd.,4.99,2004
22340,Headfirst Productions,4.99,2006
22330,Bethesda Game Studios,14.99,2007
22320,Bethesda Game Studios,14.99,2002
900883,Bethesda Game Studios®,19.99,2009
12440,Deck 13,4.99,2007
32710,NovaLogic,9.99,1999
32740,NovaLogic,9.99,1998
12460,Mascot Entertainment,4.99,2008
21980,Techland,9.99,2009
31860,HeR Interactive,6.99,2007
31900,HeR Interactive,6.99,2006
31920,HeR Interactive,6.99,2008
31930,HeR Interactive,6.99,2007
35800,Digital Eel,0.0,2008
12690,Desconocido,9.99,2009
31170,Telltale Games,19.99,2009
21660,Capcom,19.99,2009
6080,Frontier,9.99,2007
6010,LucasArts,5.99,1992
6090,Planet Moon Studios,5.99,2003
6060,Pandemic Studios,9.99,2005
32310,LucasArts,5.99,1989
32330,Traveller's Tales,19.99,2008
32360,LucasArts,9.99,2009
35300,GFI Russia,12.99,2008
35310,Targem Games,9.99,2009
31980,HeR Interactive,6.99,2009
10140,Wanako Games,9.99,2006
10100,Sierra,19.99,2006
10130,Saber Interactive,19.99,2007
10110,Sierra,19.99,2006
1256,Tripwire Interactive,7.99,2009
10120,Artech Studios,9.99,2008
33520,"PopTop Software,BreakAway Games,Frog City Software",6.99,2009
3610,SpinTop Games,4.99,2009
21680,Capcom,9.99,2008
21670,Capcom,9.99,2009
21030,Deadline Games,4.99,2009
36000,Sakari Indie,4.99,2009
32370,"BioWare,Aspyr (Mac)",9.99,2003
29180,Hemisphere Games,9.99,2009
38410,Black Isle Studios,9.99,1998
38420,14° East,9.99,2001
38430,Xatrix Entertainment,9.99,1999
38440,Shiny Entertainment,9.99,2000
31180,Telltale Games,19.99,2009
37960,iWin,19.99,2009
38000,iWin,9.99,2009
37400,Size Five Games,4.99,2009
13570,Ubisoft Montreal,9.99,2005
11390,Desconocido,9.99,2009
34420,Unicorn Games Studio,4.99,2009
43100,Blue Fang,14.99,2009
33730,Desconocido,9.99,2009
35000,IO Interactive,9.99,2009
39392,"Freeze Tag Inc.,iQ212",19.99,2009
39391,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",19.99,1999
37600,"Vectorpark, Inc.",2.99,2009
24029,All Aboard,24.99,2009
32140,MumboJumbo,9.99,2009
31190,Telltale Games,19.99,2009
32770,NovaLogic,19.99,2009
208306,Dovetail Games,17.99,2009
37300,PlayFirst,9.99,2009
208300,Dovetail Games,19.99,2009
40300,Piranha Bytes,9.99,2009
35070,Honeyslug,3.99,2009
10606,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",9.99,2009
40700,Amanita Design,9.99,2009
24840,EA Los Angeles,9.99,2007
24870,Slightly Mad Studios,19.99,2009
41500,Runic Games,14.99,2009
24800,EA Los Angeles,19.99,2009
901735,FireFly Studios,19.99,2009
42800,Nitro Games,4.99,2009
39560,Homegrown Games,9.99,2009
39550,"Phenomic,THQ Nordic",14.99,2009
40330,Animation Arts,9.99,2009
40320,Stormregion,4.99,2009
31200,Telltale Games,19.99,2009
3130,1C Company,4.99,2009
41100,Konstantin Koshutin,4.99,2009
39540,Phenomic,9.99,2009
34640,Wargaming.net,9.99,2005
34630,Wargaming.net,9.99,2003
42200,HeR Interactive,6.99,2009
41000,Croteam,14.99,2009
40340,Animation Arts,9.99,2009
17450,BioWare,19.99,2009
37100,Citeremis Inc.,4.99,2009
37500,Yullaby,1.99,2009
42810,Crystal Empire Games,9.99,2009
10180,"Infinity Ward,Aspyr (Mac)",19.99,2009
32440,"Traveller's Tales,Feral Interactive (Mac)",19.99,2009
11450,"Triumph Studios,Virtual Programming",4.99,2007
12710,"Triumph Studios,Virtual Programming",9.99,2008
24790,EA Los Angeles,14.99,2007
29120,KranX Productions,4.99,2008
24810,EA Los Angeles,19.99,2009
41800,Positech Games,14.99,2009
45300,Gaijin Entertainment,9.99,2009
41900,inXile Entertainment,9.99,2005
35420,Defence Alliance Team,0.0,2009
32430,"LucasArts,Aspyr Studios",19.99,2009
25806,Paradox Interactive,9.99,2009
22370,Bethesda Game Studios,19.99,2009
41802,Positech Games,5.99,2009
38080,Hip Soft,9.99,2007
38090,Hip Soft,9.99,2008
38100,Hip Soft,9.99,2009
38070,iWin,9.99,2009
38210,Spidermonk Entertainment,1.99,2009
45700,Capcom,19.99,2008
46410,ClockStone Studios,9.99,2010
38110,Hip Soft,9.99,2009
17570,Octoshark Studios,0.0,2010
38130,Alawar,4.99,2008
38160,Alawar,9.99,2010
38150,Alawar,9.99,2009
38120,Alawar,4.99,2007
38140,Alawar,4.99,2009
36300,Sandlot Games,6.99,2010
36310,Sandlot Games,6.99,2010
36320,Cateia Games,6.99,2010
37030,Chaos Concept,9.99,2010
32450,Traveller's Tales,19.99,2010
44100,New Star Games Ltd,4.99,2010
25960,Paradox Interactive,0.99,2010
46250,The Farm 51,6.99,2010
38180,Awem Studio,9.99,2007
10695,Rebellion,7.49,2010
41050,Croteam,9.99,2001
24055,All Aboard,19.99,2010
48700,TaleWorlds Entertainment,19.99,2010
39900,ZoopTEK,4.99,2010
49900,Beatnik Games,4.99,2010
42120,Fatshark,9.99,2010
12220,Rockstar North / Toronto,19.99,2010
45730,Other Ocean Interactive,4.99,2010
45400,Nemesys Games,0.99,2010
49600,Cold Beam Games,9.99,2010
901399,Telltale Games,19.99,2010
43500,Realmforge Studios,9.99,2010
45302,Gaijin Entertainment,4.99,2010
40930,The Odd Gentlemen,4.99,2010
39640,THQ Nordic,4.99,2003
39630,THQ Nordic,4.99,2001
23150,Red Chain Games Ltd.,1.99,2010
50940,Big Fish Games,9.99,2006
50920,Big Fish Games,9.99,2008
34178,"The Creative Assembly,Feral Interactive (Mac)",2.99,2010
37340,Sarbakan,6.99,2008
37390,PlayFirst,6.99,2009
37310,Absolutist Ltd.,6.99,2009
37360,PlayFirst,6.99,2007
49000,PlayFirst,6.99,2009
37330,PlayFirst,6.99,2010
37320,PlayFirst,6.99,2008
37370,PlayFirst,6.99,2007
37380,PlayFirst,6.99,2009
19080,G5 Entertainment,9.99,2010
19030,Climax Studios,14.99,2010
49800,Muse Games,4.99,2010
33650,Ideas Pad,4.99,2010
901478,Ubisoft,19.99,2010
33660,Kokakiki,4.99,2010
34281,SEGA,2.99,2010
34272,SEGA,2.99,2010
34270,D3T Limited,61.99,2010
34276,SEGA,2.99,2010
34274,SEGA,2.99,2010
34275,SEGA,2.99,2010
34277,SEGA,2.99,2010
34273,SEGA,2.99,2010
34280,SEGA,2.99,2010
34278,SEGA,4.99,2010
34282,SEGA,2.99,2010
34279,SEGA,2.99,2010
34010,Obsidian Entertainment,14.99,2010
22610,Team17 Software Ltd.,9.99,2010
22440,Bethesda Game Studios,4.99,2010
18508,Hidden Path Entertainment,0.99,2010
22430,Bethesda Game Studios,4.99,2010
22410,Bethesda Game Studios,4.99,2010
22420,Bethesda Game Studios,4.99,2010
630,Valve,0.0,2010
22400,Bethesda Game Studios,4.99,2010
24780,"EA - Maxis,Aspyr (Mac)",19.99,2003
33670,"Akella,.dat",14.99,2010
40420,"Arcen Games, LLC",4.99,2010
34920,Invent4 Entertainment,9.99,2010
48136,Blue Byte,3.99,2010
46720,Dagger Games,9.99,2008
28000,IO Interactive,9.99,2010
39680,Rune Forge,9.99,2010
25962,Paradox Interactive,0.99,2010
24634,N3V Games,19.99,2010
63900,Ino-Co,4.99,2010
50130,"2K Czech,Feral Interactive (Mac)",29.99,2011
24075,Dovetail Games,4.99,2010
47540,Infinite Interactive,9.99,2010
50510,doublesix,9.99,2010
25760,Playbrains,1.99,2010
25763,Playbrains,1.99,2010
25762,Playbrains,1.99,2010
25764,Playbrains,2.99,2010
42980,Paradox Development Studio,9.99,2010
48800,VStep,19.99,2010
22600,Team17 Digital Ltd,19.99,2010
46770,Muzzy Lane Software,14.99,2010
65700,Bohemia Interactive,8.99,2010
42960,Paradox Development Studio,19.99,2010
25761,Playbrains,1.99,2010
28010,IO Interactive,5.99,2010
28012,IO Interactive,1.99,2010
24640,N3V Games,19.99,2010
28011,IO Interactive,2.99,2010
4850,GSC Game World,4.99,2002
57640,Revolution Software Ltd,5.99,2010
62100,Zoë Mode,4.99,2010
50145,"2K Czech,Feral Interactive (Mac)",9.99,2010
34841,City Interactive,1.99,2010
70300,Terry Cavanagh,4.99,2010
48137,Blue Byte,3.99,2010
57300,Frictional Games,19.99,2010
70400,EasyGameStation,19.99,2010
46600,Dedication Games,3.99,2010
34314,SEGA,2.99,2010
34310,SEGA,2.99,2010
70100,exosyphen studios,4.99,2010
70110,exosyphen studios,4.99,2010
38600,Subsoap,9.99,2010
57620,Gaming Minds Studios,14.99,2010
34284,SEGA,2.99,2010
63910,Katauri Interactive,14.99,2010
24082,Dovetail Games,4.99,2010
8930,"Firaxis Games,Aspyr (Mac, Linux)",29.99,2010
49310,Nitro Games,4.99,2010
41060,Croteam,9.99,2002
70900,Blind Mind Studios,9.99,2010
9940,Krome Studios,2.99,2010
22650,Team17 Digital Ltd,9.99,2010
50620,Vigil Games,19.99,2010
2840,Egosoft,4.99,1999
42920,NeoCoreGames,9.99,2010
29700,ArenaNet®,19.99,2007
2850,Egosoft,4.99,2000
70200,I Sioux Game Productions B.V.,7.99,2010
70210,I Sioux Game Productions B.V.,14.99,2010
47790,Electronic Arts,19.99,2010
46450,"Headup Games,Silent Dreams",9.99,2010
45750,"CAPCOM CO., LTD.",19.99,2010
57800,Stickmen Studios,4.99,2010
22380,Obsidian Entertainment,9.99,2010
67000,Dmytry Lavrov,6.99,2010
80300,Ivy Games,4.99,2010
50000,Noumenon Games,9.99,2010
16868,"Firaxis Games,Aspyr (Mac, Linux)",4.99,2010
18040,Hothead Games,14.99,2010
71115,SEGA,2.99,2010
34317,SEGA,2.99,2010
71114,SEGA,2.99,2010
71112,SEGA,2.99,2010
71113,SEGA,4.99,2010
71111,SEGA,2.99,2010
71110,SEGA,2.99,2010
34319,SEGA,2.99,2010
34318,SEGA,2.99,2010
34316,SEGA,2.99,2010
34315,SEGA,2.99,2010
6120,Klei Entertainment,9.99,2010
35460,Teotl Studios,9.99,2010
32500,Aspyr Studios,19.99,2010
62000,Firemint,4.99,2010
33570,Ascaron Entertainment ltd.,4.99,2010
63700,Gaijin Games,9.99,2010
46362,1C Company,1.99,2010
49320,Nitro Games,4.99,2010
72400,Tomkorp Computer Solutions Inc.,4.99,2010
42964,Paradox Interactive,1.99,2010
43011,Double Helix Games,3.99,2010
33980,Centauri Production,9.99,2010
65710,Centauri Production,6.99,2009
33990,Centauri Production,12.99,2010
33950,Altar Games,4.99,2007
65400,React Games,9.99,2010
42700,Treyarch,39.99,2010
38923,Sonic Boom Games,0.99,2010
72500,Joshyy,4.99,2010
15740,Oddworld Inhabitants,4.99,2010
38924,Sonic Boom Games,1.99,2010
15750,Oddworld Inhabitants,9.99,2010
45500,"Ntreev Soft Co., Ltd.",4.99,2010
31290,Telltale Games,19.99,2010
12100,Rockstar Games,9.99,2002
12120,Rockstar Games,14.99,2005
35135,Crystal Dynamics Inc.,3.49,2011
35137,Crystal Dynamics Inc.,3.49,2011
35138,Crystal Dynamics,3.49,2011
35136,Crystal Dynamics Inc.,3.49,2011
12110,Rockstar Games,9.99,2003
33390,Brightside Games,9.99,2011
92300,Extend Studio,4.99,2011
80000,BlueGiant Interactive,14.99,2011
47780,Visceral Games,19.99,2011
51060,Big Fish Studios,9.99,2011
65080,Cateia Games,4.99,2011
71168,SEGA,2.99,2011
63200,Uber Entertainment,4.99,2011
60340,MumboJumbo,9.99,2011
71116,SEGA,2.99,2011
71161,SEGA,2.99,2011
71119,SEGA,2.99,2011
71118,SEGA,2.99,2011
71117,SEGA,2.99,2011
71166,SEGA,4.99,2011
71165,SEGA,2.99,2011
71163,SEGA,4.99,2011
71164,SEGA,2.99,2011
71162,SEGA,4.99,2011
71160,SEGA,2.99,2011
71120,SEGA,2.99,2011
47890,The Sims Studio,19.99,2009
48802,VStep,3.99,2011
47896,The Sims Studio,19.99,2010
47892,The Sims Studio,19.99,2009
47894,The Sims Studio,19.99,2010
47893,The Sims Studio,19.99,2010
47895,The Sims Studio,19.99,2010
42000,Trinoteam,4.99,2011
47570,Virtual Prophecy Entertainment,14.99,2011
47897,The Sims Studio,19.99,2011
57700,Mediatonic,5.99,2011
63660,Cyan Worlds,5.99,2011
90504,Petroglyph,2.99,2011
7520,Reality Pump Studios,19.99,2011
24449,NeoCoreGames,3.99,2011
41814,Positech Games,6.99,2011
42925,NeoCoreGames,3.99,2011
57650,Realmforge Studios,9.99,2011
40407,"Arcen Games, LLC",4.99,2011
33770,DTP,19.99,2011
47800,Stainless Games,9.99,2011
18408,Fakt Software,4.99,2011
63710,Gaijin Games,9.99,2011
55100,"Kaos Studios,Digital Extremes",19.99,2011
80200,Red Redemption,9.99,2011
92400,Copenhagen Game Collective,2.99,2011
56436,"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99,2011
56435,"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99,2011
56433,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99,2011
56432,"Relic Entertainment,Feral interactive (Mac/Linux)",0.99,2011
56431,"Relic Entertainment,Feral interactive (Mac/Linux)",0.99,2011
39120,Trion Worlds,0.0,2013
56437,"Relic Entertainment,Feral Interactive (Mac/Linux)",29.99,2011
94000,Stout Games,3.99,2011
56434,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99,2011
92700,Black Lion Studios,9.99,2011
73012,Colossal Order Ltd.,3.99,2011
48803,VStep,3.99,2011
56536,"Relic Entertainment,Feral Interactive (Mac/Linux)",6.99,2011
44620,SimBin,3.99,2011
91200,11 bit studios,9.99,2011
46790,Ntronium Games,14.99,2010
73170,Martin Ivanov,9.99,2011
57655,Realmforge Studios,3.99,2011
70000,800 North and Digital Ranch,9.99,2011
57730,Gaming Minds Studios,9.99,2011
620,Valve,19.99,2011
42918,Arrowhead Game Studios,4.99,2011
91600,Coffee Stain Studios,9.99,2011
73020,1C:InoCo,19.99,2011
56482,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99,2011
56438,"Relic Entertainment,Feral Interactive (Mac/Linux)",9.99,2011
56481,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99,2011
98200,Mode 7,24.99,2011
56480,"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99,2011
72905,inner seas,4.99,2011
22450,inXile Entertainment,4.99,2011
42140,Fatshark,9.99,2011
47898,The Sims Studio,19.99,2011
73181,Colossal Order Ltd.,5.99,2011
73031,Arrowhead Game Studios,0.99,2011
9992,Behaviour,1.99,2011
46490,Microids,7.99,2009
46480,Microids,7.99,2005
42718,Treyarch,14.99,2011
39160,Obsidian Entertainment,14.99,2011
57900,Gearbox Software,19.99,2011
102700,Red Duck Inc.,0.0,2011
9880,Cryptic Studios,0.0,2009
99900,Grey Havens,0.0,2011
22520,"Apus Software,Three Donkeys LLC",9.99,2011
73014,Colossal Order Ltd.,3.99,2011
7530,Reality Pump Studios,9.99,2011
95700,Peter Brinson and Kurosh ValaNejad,0.0,2011
49470,Stainless Games Ltd,19.99,2011
91810,Bacon Wrapped Games,9.99,2011
49604,Cold Beam Games,4.99,2011
98210,Mode 7,5.99,2011
97000,Murudai,9.99,2011
46760,Totem Games,9.99,2011
46830,Totem games,9.99,2011
73035,Arrowhead Game Studios,2.99,2011
46840,Totem Games,9.99,2011
21100,Day 1 Studios,19.99,2011
73037,Arrowhead Game Studios,1.99,2011
73036,Arrowhead Game Studios,1.99,2011
24635,N3V Games,19.99,2011
901679,Arrowhead Game Studios,1.99,2011
25810,Paradox Interactive,1.99,2011
99100,Bedlam Games,14.99,2011
44660,SimBin,3.99,2011
90209,Giants Software,6.99,2011
25809,Paradox Interactive,1.99,2011
42903,Paradox Development Studio,4.99,2011
22631,Team17 Digital Ltd,4.99,2011
22634,Team17 Digital Ltd,4.99,2011
22633,Team17 Digital Ltd,4.99,2011
57656,Realmforge Studios,2.99,2011
22632,Team17 Digital Ltd,4.99,2011
94590,Telltale Games,9.99,2011
35425,Tripwire Interactive,7.99,2011
73192,Ageod,3.99,2011
105700,Secret Base,0.99,2011
72750,Obsidian Entertainment,4.99,2011
56538,"Relic Entertainment,Feral Interactive (Mac/Linux)",6.99,2011
61100,YeaBoing,4.99,2011
65228,Dovetail Games,8.99,2011
55205,"Kaos Studios,Digital Extremes",0.99,2011
102200,Mystic Box,9.99,2011
64013,Digitalmindsoft,1.99,2011
15522,"Dejobaan Games, LLC",1.99,2011
63802,Lunar Giant,0.99,2011
92302,Extend Studio,0.99,2011
73183,Colossal Order Ltd.,2.99,2011
42210,HeR Interactive,6.99,2010
65790,Bohemia Interactive,4.99,2011
92803,Zachtronics,1.99,2011
57690,Haemimont Games,14.99,2011
42220,HeR Interactive,6.99,2011
42230,HeR Interactive,6.99,2010
111000,Total Eclipse,6.99,2011
73193,Ageod,3.99,2011
38740,Two Tribes,6.99,2011
99612,"Firaxis Games,Aspyr (Mac, Linux)",4.99,2011
99614,"Firaxis Games,Aspyr (Mac, Linux)",4.99,2011
91604,Coffee Stain Studios,9.99,2011
70120,exosyphen studios,4.99,2011
107200,MinMax Games Ltd.,9.99,2011
97108,TimeGate Studios,3.99,2011
97106,TimeGate Studios,2.99,2011
97107,TimeGate Studios,3.99,2011
56487,"Relic Entertainment,Feral Interactive (Mac/Linux)",6.99,2011
72760,Obsidian Entertainment,4.99,2011
99910,Three Rings,0.0,2011
18070,Hothead Games,14.99,2011
55150,Relic,29.99,2011
63940,1C Company,7.99,2011
98400,Flying Wild Hog,14.99,2012
73194,Ageod,3.99,2011
46520,"Octane Games,Meridian4",9.99,2011
22230,ACE Team,9.99,2011
35450,Tripwire Interactive,19.99,2011
33420,Desconocido,9.99,2011
73185,Colossal Order Ltd.,5.99,2011
49473,Stainless Games Ltd,4.99,2011
73210,Paradox Development Studio,9.99,2011
110600,PomPom,4.99,2011
200080,HeR Interactive,6.99,2010
200440,Reality Pump Studios,9.99,2011
111400,NGD Studios,4.99,2011
57923,Gearbox Software,9.99,2011
48220,Blackhole,19.99,2011
9420,Gas Powered Games,14.99,2011
113200,Edmund McMillen and Florian Himsl,4.99,2011
90208,Giants Software,6.99,2011
200230,1C-Avalon,4.99,2011
9350,Gas Powered Games,14.99,2007
901776,Red Redemption,18.99,2011
201100,Steel Monkeys,1.99,2011
80202,Red Redemption,2.99,2011
80204,Red Redemption,4.99,2011
34842,City Interactive,1.99,2011
95900,"Games Farm,3Division",5.99,2011
80207,Red Redemption,3.99,2011
45770,Capcom Vancouver,19.99,2011
18080,Hothead Games,1.99,2011
200670,"Akella,.dat",14.99,2011
108210,Days of Wonder,0.0,2011
65231,Dovetail Games,8.99,2011
115100,Double Fine Productions,9.99,2011
47930,The Sims Studio,19.99,2011
41816,Positech Games,5.99,2011
201480,"Vlambeer,Croteam",4.99,2011
200910,Iridium Studios,4.99,2011
200130,Ideas Pad,4.99,2011
201490,b-Alive,9.99,2011
65610,Spellbound Studios,14.99,2011
43190,KTX Software,8.99,2011
102622,Robot Entertainment,1.99,2011
39270,Obsidian Entertainment,6.99,2011
24200,Daybreak Game Company,0.0,2011
57696,"Haemimont Games,Feral Interactive (Mac)",2.99,2011
71340,Devil's Details,19.99,2011
202670,HeR Interactive,6.99,2011
